name,slug_name,about,subjects_offered,verified,is_public
Plantel Fundación Azteca Bachillerato,plantelaztecabach,"Plantel Azteca Ciudad de México es una institución que desde su creación hace ya más de dos décadas, ha orientado sus esfuerzos en ofrecer educación de calidad y todos los elementos necesarios que contribuyan a la formación integral de los estudiantes.",0,1,1
Plantel Fundación Azteca Secundaria,plantelaztecasec,"Plantel Azteca Ciudad de México es una institución que desde su creación hace ya más de dos décadas, ha orientado sus esfuerzos en ofrecer educación de calidad y todos los elementos necesarios que contribuyan a la formación integral de los estudiantes.",0,1,1
Juan De Dios Bátiz Paredes,juandediozbatizp,"El Centro de Estudios Científicos y Tecnológicos 9 “Juan de Dios Bátiz” es una escuela de Nivel Medio Superior, líder en la formación integral de profesionales con liderazgo y comprometidos con la sociedad y el medio ambiente.",0,1,1
Colegio Simón Bolívar Aragón,colegiosimonbolivara,"El Grupo Escolar Simón Bolívar, en todos sus niveles centra su interés fundamental en la formación de seres humanos dotados de las herramientas y capacidades necesarias para ser hombres y mujeres felices en todos los aspectos y ámbitos de su vida.",0,1,0
Colegio Guillermo Haro,colegioguillermoharo,En el Colegio Guillermo Haro la educación se personaliza. Desde los primeros cursos se interviene para apoyar a los alumnos que requieren nivelación académica o alguna atención especial para lograr Buenos resultados en lectura y redacción.,0,1,1
Institulo Pedagógico Escolar México,ipem,"Somos una institución educativa fundada en 1996, con la finalidad de coadyuvar al desarrollo académico, social y cultural, así como la formación de valores para el beneficio de las comunidades de la zona oriente de Tlalnepantla.",0,1,0
Institución Educativa Federico Froebel,institucioneducativafedefro,"La Institución Educativa Federico Froebel proporcionar servicios educativos de alto nivel, brindando una enseñanza de excelencia y vanguardia, que asegure el logro de una formación integral armónica de los alumnos que nos son confiados.",0,1,1
Colegio de Excelencia Raindrop,colegioexcelenciaraindop,El Colegio de Excelencia Raindro tiene el objetivo de Formar a los alumnos para que desarrollen altos niveles de excelencia en sus vidas personales y académicas.,0,1,0
Colegio Manchester de México,colegiomanchestermexico,"El Colegio Manchester de México S.C es un Sistema Educativo Líder y Competente, con alto grado de calidad educativa y formación humana; comprometidos a contribuir al desarrollo integral de los jóvenes, al incrementarles sus conocimientos.",0,1,1
Comunidad Educativa Hispanoamericana,comunidadeducativahispanoamericana,"Comunidad Educativa Hispanoamericana es una Institución comprometida con la educación de niños y jóvenes, su premisa fundamental es la formación integral del ser humano, para ello encausa sus acciones a desarrollar el potencial de cada persona.",0,1,1
Instituto Stratford,institutostratford,"El Instituto Stratford ofrecer una educación integral a niños y jóvenes, aplicando un moderno enfoque constructivista que lleve a los alumnos a desarrollar su propio conocimiento.",0,1,0
Centro Educativo Tenoch Montessori,centroeducativotm,El Centro Educativo Tenoch Montessori tiene cómo misión implementar conocimientos significativos en el niño a fin de lograr su desarrollo personal.,0,1,0
Colegio Martin Luther King,colegiomartinlutherking,"El Colegio Martin Luther King cree que es parte de la educación integral convivir con valores,por lo cual es fundamental que los niños tengan bases de ellos.",0,1,1
Colegio Líderes México,colegiolideresmexico,"El Colegio  Líderes México les ofrece un proyecto sólido, actual, creado para niños y jóvenes listos para liderar el futuro de una sociedad cambiante que avanza a la par con las competencias que aquí  desarrollan nuestros alumnos.",0,1,0
Unidad Pedagógica Juan Jacobo Rousseau,unidadpjuanjacoborou,"La Unidad Pedagógica Juan Jacobo Rousseau tiene cómo objetivo formar alumnos competentes para enfrentar con éxito la vida. Desarrollando sus conocimientos, habilidades, destrezas, estrategias, valores y actitudes.",0,1,1
Colegio Hermanos Grimm,colegiohermanosgrimm,"El Colegio Hermanos Grimm es una institución educativa de nivel primaria, debidamente incorporada a SEIEM. Escuela inclusiva, sistema de enseñanza - aprendizaje bilingüe, enfocada en el trabajo con valores",0,1,1
Colegio Hispano Americano,colegiohispanoamericano,"Somos una comunidad educativa josefina, de carácter privado que forma personas de manera integral basados en sus principios de amor, trabajo y cuidado de la vida, tomando como modelo la familia de Nazaret “haciendo siempre y en todo lo mejor.”",0,1,1
Colegio Guadalupe Tulpetlac,colegioguadalupetulpetlac,"Somos la institución segura y hospitalaria donde se percibe un ambiente cálido e inclusivo, que permite el óptimo desarrollo de tus hijos e hijas.",0,1,1
Liceo Educativo y Cultural Luis Pasteur,liceoedculturaluisp,En el Liceo Educativo y Cultural Luis Pasteur creemos en el aprendizaje significativo.Auténico desarrollo en la  formación intelectual  y  social  de  nuestros alumnos.,0,1,0
Colegio Vallarta,colegiovallarta,"El Colegio Vallarta abrió sus puertas por primera vez el 2 de Septiembre de 1975, con un objetivo muy claro que fue crear un espacio de desarrollo de las capacidades de los niños y jóvenes.",0,1,0
Colegio Nueva Era,colegionuevaera,"El Colegio Nueva Era tiene el objetivo de ayudar a los niños estudiantes a encontrar el camino para colaborar de manera satisfactoria dentro de su comunidad, y con ello creen un cambio.",0,0,1
Escuela Nacional Preparatoria Nuevo Chico,escuelanapnuevochico,La Escuela Nacional Preparatoria Nuevo Chico se asegura de que los jóvenes obtengan los conocimientos necesarios para realizar una contribición imponte a la comunidad.,0,0,1
